Timestamp,Level,Asset,Event,Details,Equity
2026-01-04 15:14:23.119,INFO,SYSTEM,STARTUP,Bot starting with multi-asset support%!(EXTRA int=0),1000.00
2026-01-04 15:14:23.119,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 15:14:24.224,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 15:14:24.224,INFO,BTC,TRADER_START,Launching trader for btc-updown-15m-1767538800,1000.00
2026-01-04 15:14:24.225,INFO,ETH,TRADER_START,Launching trader for eth-updown-15m-1767538800,1000.00
2026-01-04 15:14:24.225,INFO,SOL,TRADER_START,Launching trader for sol-updown-15m-1767538800,1000.00
2026-01-04 15:14:24.225,INFO,XRP,TRADER_START,Launching trader for xrp-updown-15m-1767538800,1000.00
2026-01-04 15:14:24.225,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 15:14:24.638,INFO,SOL,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:14:24.638,INFO,SOL,TRADER_TIMEOUT,Trader deadline set to 1m35s (expires + 1m),1000.00
2026-01-04 15:14:24.639,INFO,SOL,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:14:24.639,INFO,SOL,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:14:24.757,INFO,XRP,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:14:24.757,INFO,XRP,TRADER_TIMEOUT,Trader deadline set to 1m35s (expires + 1m),1000.00
2026-01-04 15:14:24.759,INFO,XRP,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:14:24.759,INFO,XRP,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:14:24.786,INFO,BTC,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:14:24.787,INFO,BTC,TRADER_TIMEOUT,Trader deadline set to 1m35s (expires + 1m),1000.00
2026-01-04 15:14:24.788,INFO,BTC,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:14:24.788,INFO,BTC,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:14:24.807,INFO,ETH,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:14:24.807,INFO,ETH,TRADER_TIMEOUT,Trader deadline set to 1m35s (expires + 1m),1000.00
2026-01-04 15:14:24.808,INFO,ETH,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:14:24.808,INFO,ETH,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:14:44.811,INFO,ETH,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:14:59.488,INFO,SOL,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:15:00.003,INFO,XRP,REDEEM,"Winner: Down, PnL: 0.00",1000.00
2026-01-04 15:15:00.004,INFO,BTC,REDEEM,"Winner: Down, PnL: 0.00",1000.00
2026-01-04 15:15:00.011,INFO,ETH,REDEEM,"Winner: Up, PnL: 0.00",1000.00
2026-01-04 15:15:00.012,INFO,SOL,REDEEM,"Winner: Up, PnL: 0.00",1000.00
2026-01-04 15:15:00.230,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 15:15:01.395,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 15:15:01.395,INFO,XRP,TRADER_START,Launching trader for xrp-updown-15m-1767539700,1000.00
2026-01-04 15:15:01.395,INFO,BTC,TRADER_START,Launching trader for btc-updown-15m-1767539700,1000.00
2026-01-04 15:15:01.395,INFO,ETH,TRADER_START,Launching trader for eth-updown-15m-1767539700,1000.00
2026-01-04 15:15:01.395,INFO,SOL,TRADER_START,Launching trader for sol-updown-15m-1767539700,1000.00
2026-01-04 15:15:01.395,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 15:15:01.907,INFO,XRP,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:15:01.907,INFO,XRP,TRADER_TIMEOUT,Trader deadline set to 15m58s (expires + 1m),1000.00
2026-01-04 15:15:01.907,INFO,BTC,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:15:01.907,INFO,BTC,TRADER_TIMEOUT,Trader deadline set to 15m58s (expires + 1m),1000.00
2026-01-04 15:15:01.908,INFO,ETH,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:15:01.908,INFO,XRP,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:15:01.908,INFO,XRP,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:15:01.908,INFO,ETH,TRADER_TIMEOUT,Trader deadline set to 15m58s (expires + 1m),1000.00
2026-01-04 15:15:01.908,INFO,SOL,WS_CONNECTED,WebSocket connected successfully,1000.00
2026-01-04 15:15:01.908,INFO,SOL,TRADER_TIMEOUT,Trader deadline set to 15m58s (expires + 1m),1000.00
2026-01-04 15:15:01.908,INFO,BTC,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:15:01.908,INFO,BTC,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:15:01.908,INFO,ETH,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:15:01.909,INFO,SOL,WS_SUBSCRIBED,Subscribed to 2 tokens,1000.00
2026-01-04 15:15:01.909,INFO,ETH,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:15:01.909,INFO,SOL,STREAMING_START,WebSocket streaming started,1000.00
2026-01-04 15:15:05.054,TRADE,SOL,ARB_ENTRY,"Sum: 0.980, Shares: 25, Margin: 2.0%",1000.00
2026-01-04 15:15:05.065,TRADE,SOL,ARB_ENTRY,"Sum: 0.980, Shares: 25, Margin: 2.0%",1000.00
2026-01-04 15:15:05.075,TRADE,SOL,ARB_ENTRY,"Sum: 0.980, Shares: 25, Margin: 2.0%",1000.00
2026-01-04 15:22:30.420,INFO,XRP,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:27:32.761,ERROR,XRP,TRADER_ERROR,Trader failed: context canceled,1000.00
2026-01-04 15:27:32.761,ERROR,BTC,TRADER_ERROR,Trader failed: context canceled,1000.00
2026-01-04 15:27:32.761,ERROR,SOL,TRADER_ERROR,Trader failed: context canceled,1000.00
2026-01-04 15:27:32.761,ERROR,ETH,TRADER_ERROR,Trader failed: context canceled,1000.00
2026-01-04 15:35:12.118,INFO,SYSTEM,STARTUP,Bot starting with multi-asset support%!(EXTRA int=0),1000.00
2026-01-04 15:35:12.118,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 15:35:13.343,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 15:35:13.344,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 15:42:15.174,INFO,SOL,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:42:32.123,INFO,SOL,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 15:42:59.785,INFO,SOL,WS_RECONNECT,Attempt #3,1000.00
2026-01-04 15:43:04.935,INFO,ETH,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:43:25.813,INFO,SOL,WS_RECONNECT,Attempt #4,1000.00
2026-01-04 15:43:26.689,INFO,ETH,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 15:43:42.746,INFO,SOL,WS_RECONNECT,Attempt #5,1000.00
2026-01-04 15:43:55.142,INFO,ETH,WS_RECONNECT,Attempt #3,1000.00
2026-01-04 15:43:59.709,INFO,SOL,WS_RECONNECT,Attempt #6,1000.00
2026-01-04 15:44:12.123,INFO,ETH,WS_RECONNECT,Attempt #4,1000.00
2026-01-04 15:44:21.560,INFO,SOL,WS_RECONNECT,Attempt #7,1000.00
2026-01-04 15:44:26.997,INFO,XRP,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:44:27.836,INFO,ETH,WS_RECONNECT,Attempt #5,1000.00
2026-01-04 15:44:38.476,INFO,SOL,WS_RECONNECT,Attempt #8,1000.00
2026-01-04 15:44:44.741,INFO,ETH,WS_RECONNECT,Attempt #6,1000.00
2026-01-04 15:44:55.519,INFO,SOL,WS_RECONNECT,Attempt #9,1000.00
2026-01-04 15:44:56.609,INFO,XRP,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 15:45:00.000,INFO,BTC,REDEEM,"Winner: Down, PnL: 0.00",1000.00
2026-01-04 15:45:00.001,INFO,ETH,REDEEM,"Winner: Down, PnL: 0.00",1000.00
2026-01-04 15:45:00.001,INFO,SOL,REDEEM,"Winner: Down, PnL: 0.00",1000.00
2026-01-04 15:45:00.001,INFO,XRP,REDEEM,"Winner: Down, PnL: 0.00",1000.00
2026-01-04 15:45:00.277,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 15:45:01.536,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 15:45:01.537,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 15:47:59.004,INFO,XRP,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:48:42.813,INFO,SOL,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 15:51:31.813,TRADE,XRP,ARB_ENTRY,"Sum: 0.980, Shares: 100, Margin: 2.0%",1000.00
2026-01-04 15:54:28.666,INFO,XRP,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 15:58:57.645,INFO,XRP,WS_RECONNECT,Attempt #3,1000.00
2026-01-04 15:59:14.611,INFO,XRP,WS_RECONNECT,Attempt #4,1000.00
2026-01-04 15:59:31.589,INFO,XRP,WS_RECONNECT,Attempt #5,1000.00
2026-01-04 15:59:55.021,INFO,SOL,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 15:59:55.211,INFO,XRP,WS_RECONNECT,Attempt #6,1000.00
2026-01-04 16:00:00.002,INFO,SOL,REDEEM,"Winner: Up, PnL: -15.00",902.00
2026-01-04 16:00:00.003,INFO,BTC,REDEEM,"Winner: Up, PnL: 0.00",902.00
2026-01-04 16:00:00.006,INFO,XRP,REDEEM,"Winner: Up, PnL: 0.00",902.00
2026-01-04 16:00:00.007,INFO,ETH,REDEEM,"Winner: Up, PnL: 0.00",902.00
2026-01-04 16:00:00.213,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,902.00
2026-01-04 16:00:01.255,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,902.00
2026-01-04 16:00:01.255,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,902.00
2026-01-04 16:01:20.720,INFO,XRP,WS_RECONNECT,Attempt #1,902.00
2026-01-04 16:02:28.295,ERROR,XRP,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:02:28.295,ERROR,BTC,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:02:28.295,ERROR,SOL,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:02:28.295,ERROR,ETH,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:04:10.879,INFO,SYSTEM,STARTUP,Bot starting with multi-asset support%!(EXTRA int=0),1000.00
2026-01-04 16:04:10.879,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 16:04:12.121,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 16:04:12.121,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 16:05:58.693,TRADE,XRP,ARB_ENTRY,"Sum: 0.980, Shares: 100, Margin: 2.0%",1000.00
2026-01-04 16:13:51.660,INFO,SOL,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 16:14:53.927,INFO,XRP,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 16:14:58.813,INFO,SOL,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 16:15:00.000,INFO,BTC,EXPIRED,MARKET EXPIRED - resolving immediately,1000.00
2026-01-04 16:15:00.000,INFO,BTC,WINNER,WINNER: Down,1000.00
2026-01-04 16:15:00.000,INFO,BTC,REDEEM,"Winner: Down, PnL: -57.00",902.00
2026-01-04 16:15:00.002,INFO,XRP,EXPIRED,MARKET EXPIRED - resolving immediately,902.00
2026-01-04 16:15:00.002,INFO,XRP,WINNER,WINNER: Down,902.00
2026-01-04 16:15:00.002,INFO,XRP,REDEEM,"Winner: Down, PnL: 0.00",902.00
2026-01-04 16:15:00.004,INFO,SOL,EXPIRED,MARKET EXPIRED - resolving immediately,902.00
2026-01-04 16:15:00.004,INFO,SOL,WINNER,WINNER: Up,902.00
2026-01-04 16:15:00.004,INFO,SOL,REDEEM,"Winner: Up, PnL: 0.00",902.00
2026-01-04 16:15:00.008,INFO,ETH,EXPIRED,MARKET EXPIRED - resolving immediately,902.00
2026-01-04 16:15:00.008,INFO,ETH,WINNER,WINNER: Down,902.00
2026-01-04 16:15:00.008,INFO,ETH,REDEEM,"Winner: Down, PnL: 0.00",902.00
2026-01-04 16:15:00.211,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,902.00
2026-01-04 16:15:01.435,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,902.00
2026-01-04 16:15:01.436,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,902.00
2026-01-04 16:15:20.706,ERROR,XRP,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:15:20.706,ERROR,ETH,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:15:20.706,ERROR,SOL,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:15:20.706,ERROR,BTC,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:15:42.801,INFO,SYSTEM,STARTUP,Bot starting with multi-asset support%!(EXTRA int=0),1000.00
2026-01-04 16:15:42.801,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,1000.00
2026-01-04 16:15:43.804,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,1000.00
2026-01-04 16:15:43.805,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,1000.00
2026-01-04 16:16:05.437,INFO,XRP,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 16:16:22.352,INFO,XRP,WS_RECONNECT,Attempt #2,1000.00
2026-01-04 16:16:48.848,INFO,SOL,WS_RECONNECT,Attempt #1,1000.00
2026-01-04 16:18:47.671,TRADE,SOL,ARB_ENTRY,"Sum: 0.980, Shares: 100, Margin: 2.0%",1000.00
2026-01-04 16:30:00.007,INFO,XRP,EXPIRED,MARKET EXPIRED - resolving immediately,1000.00
2026-01-04 16:30:00.007,INFO,XRP,WINNER,WINNER: Down,1000.00
2026-01-04 16:30:00.007,INFO,XRP,REDEEM,"Winner: Down, PnL: -63.00",902.00
2026-01-04 16:30:00.009,INFO,ETH,EXPIRED,MARKET EXPIRED - resolving immediately,902.00
2026-01-04 16:30:00.009,INFO,ETH,WINNER,WINNER: Down,902.00
2026-01-04 16:30:00.009,INFO,ETH,REDEEM,"Winner: Down, PnL: 0.00",902.00
2026-01-04 16:30:00.010,INFO,BTC,EXPIRED,MARKET EXPIRED - resolving immediately,902.00
2026-01-04 16:30:00.010,INFO,BTC,WINNER,WINNER: Up,902.00
2026-01-04 16:30:00.010,INFO,BTC,REDEEM,"Winner: Up, PnL: 0.00",902.00
2026-01-04 16:30:00.011,INFO,SOL,EXPIRED,MARKET EXPIRED - resolving immediately,902.00
2026-01-04 16:30:00.013,INFO,SOL,WINNER,WINNER: Down,902.00
2026-01-04 16:30:00.013,INFO,SOL,REDEEM,"Winner: Down, PnL: 0.00",902.00
2026-01-04 16:30:00.229,INFO,SYSTEM,MARKET_SEARCH,Searching for active 15m markets...,902.00
2026-01-04 16:30:01.355,INFO,SYSTEM,ROUND_START,Round starting with 4 markets | Multiplier: 1.00x,902.00
2026-01-04 16:30:01.356,INFO,SYSTEM,TRADERS_RUNNING,Started 4 concurrent market traders,902.00
2026-01-04 16:30:43.972,ERROR,SOL,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:30:43.972,ERROR,ETH,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:30:43.972,ERROR,BTC,TRADER_ERROR,Trader failed: context canceled,902.00
2026-01-04 16:30:43.972,ERROR,XRP,TRADER_ERROR,Trader failed: context canceled,902.00
